station,province,rows,cgn_id,cgn_name,cgn_concise,cgn_lat,cgn_lon,hr_lat,hr_lon,csd_id,wikidata_qid,coord_source
Maple Creek,SASKATCHEWAN,110,HAOQT,Maple Creek,TOWN,49.9021160,-109.4861290,,,SK174026,Q1915371,cgn_direct
Buchanan,SASKATCHEWAN,110,HAKOI,Buchanan,VILG,51.7068810,-102.7559030,,,SK179011,Q4982582,cgn_direct
Newdale,MANITOBA,109,GATCO,Newdale,UNP,50.3516670,-100.2033300,,,,,cgn_direct
Estevan,SASKATCHEWAN,109,HAUQM,Estevan,CITY,49.1392833,-102.9859847,49.1333,-102.9833,SK171005,Q5401092,cgn_direct
Yellow Grass,SASKATCHEWAN,109,HANPS,Yellow Grass,TOWN,49.8065472,-104.1634583,,,SK172025,Q1917717,cgn_direct
Edmonton,ALBERTA,109,IACMP,Edmonton,CITY,53.5344445,-113.4902778,53.55,-113.4667,AB199016,Q2096,cgn_direct
Allan,SASKATCHEWAN,109,HABLS,Allan,TOWN,51.8958806,-106.0603667,51.8833,-106.0667,SK181029,Q704795,cgn_direct
Three Hills,ALBERTA,109,IAMUB,Three Hills,TOWN,51.7030555,-113.2686111,,,AB194042,Q1743795,cgn_direct
Abbey,SASKATCHEWAN,109,HABJF,Abbey,VILG,50.7366361,-108.7575833,,,SK178029,Q1997661,cgn_direct
Wiseton,SASKATCHEWAN,109,HANLN,Wiseton,VILG,51.3128630,-107.6490990,,,SK182047,Q2205356,cgn_direct
Gainsboro,MANITOBA,108,HACUG,Gainsborough,VILG,49.1767917,-101.4483389,,,SK171033,Q2003414,cgn_direct
Stoughton,SASKATCHEWAN,108,HAOAO,Stoughton,TOWN,49.6773083,-103.0281278,49.6833,-103.0333,SK171044,Q594989,cgn_direct
Didsbury,ALBERTA,108,IABMA,Didsbury,TOWN,51.6594444,-114.1375000,51.6667,-114.1333,AB194027,Q1743949,cgn_direct
Sedgewick,ALBERTA,108,IAHHS,Sedgewick,TOWN,52.7747223,-111.6927778,,,AB195040,Q1743694,cgn_direct
Zealandia,SASKATCHEWAN,108,HAVTP,Zealandia,TOWN,51.6164194,-107.7440278,0.0,0.0,SK182026,Q1917781,cgn_direct
Mazenod,SASKATCHEWAN,108,HAAQT,Mazenod,HAM,49.8598320,-106.2130340,,,SK173036,Q6798442,cgn_direct
Arcola,SASKATCHEWAN,107,HABTN,Arcola,TOWN,49.6354522,-102.4919222,0.0,0.0,SK171022,Q573201,cgn_direct
Govan,SASKATCHEWAN,107,HATPF,Govan,TOWN,51.3107972,-104.9952194,,,SK181022,Q1911125,cgn_direct
Markinch,SASKATCHEWAN,107,HAKYZ,Markinch,VILG,50.9391778,-104.3623500,,,SK176055,Q2086313,cgn_direct
Wapella,MANITOBA,107,HAJOT,Wapella,TOWN,50.2595806,-101.9729833,,,SK175028,Q1917505,cgn_direct
Aylesbury,SASKATCHEWAN,107,HACMW,Aylesbury,VILG,50.9391667,-105.6940667,,,SK177030,Q664844,cgn_direct
Kisbey,SASKATCHEWAN,106,HAOPG,Kisbey,VILG,49.6462778,-102.6726333,,,SK171037,Q2004293,cgn_direct
Tugaske,SASKATCHEWAN,106,HANVY,Tugaske,VILG,50.8739889,-106.2875111,,,SK177048,Q2205040,cgn_direct
Woodhouse,ALBERTA,106,IAPOF,Woodhouse,UNP,49.9416666,-113.5394444,,,ON131008,Q115263179,cgn_direct
Radisson,SASKATCHEWAN,106,HAIIV,Radisson,TOWN,52.4629417,-107.3954639,,,SK186027,Q1916651,cgn_direct
Neville,SASKATCHEWAN,106,HAAQX,Neville,VILG,49.9639306,-107.6286833,,,SK173040,Q774023,cgn_direct
Brant,ALBERTA,106,IAIAL,Brant,UNP,50.5169444,-113.5116667,,,ON104004,,cgn_direct
Rush Lake,SASKATCHEWAN,105,HAJJS,Rush Lake,VILG,50.4037611,-107.4025153,,,SK177047,Q2204184,cgn_direct
Maidstone,SASKATCHEWAN,105,HAKVT,Maidstone,TOWN,53.0861220,-109.2964410,,,SK187026,Q1915344,cgn_direct
Oyen,ALBERTA,105,IANYJ,Oyen,TOWN,51.3527778,-110.4833333,,,AB193033,Q2290339,cgn_direct
Gretna,MANITOBA,104,GAJWV,Gretna,TOWN,49.0077780,-97.5616670,49.0078,-97.5617,MB156013,Q277543,cgn_direct
Gleichen,ALBERTA,104,IAGNR,Gleichen,UNP,50.8661111,-113.0547222,50.8667,-113.05,AB194028,Q5567507,cgn_direct
Rosetown,SASKATCHEWAN,104,HAJHC,Rosetown,TOWN,51.5548472,-107.9901833,51.55,-108.0,SK182025,Q1916875,cgn_direct
Denzil,SASKATCHEWAN,104,HAFYI,Denzil,VILG,52.2271000,-109.6514508,,,SK183035,Q1999939,cgn_direct
Broderick,SASKATCHEWAN,104,HAPMD,Broderick,VILG,51.4891170,-106.9178190,,,SK181032,Q1999360,cgn_direct
Kindersley,SASKATCHEWAN,103,HAEQZ,Kindersley,TOWN,51.4676781,-109.1566139,51.4667,-109.1667,SK183026,Q1914835,cgn_direct
Fort Saskatchewan,ALBERTA,103,IAFFM,Fort Saskatchewan,CITY,53.7111111,-113.2177778,0.0,0.0,AB199018,Q1007407,cgn_direct
Hawarden,SASKATCHEWAN,102,HAEWU,Hawarden,VILG,51.4130583,-106.6019286,,,SK181043,Q2003783,cgn_direct
Holdfast,SASKATCHEWAN,102,HAFOK,Holdfast,VILG,50.9582530,-105.4215600,,,SK176050,Q2003881,cgn_direct
Saltcoats,SASKATCHEWAN,102,HAHGX,Saltcoats,TOWN,51.0406472,-102.1669233,,,SK175016,Q7406058,cgn_direct
Viscount,SASKATCHEWAN,102,HATNO,Viscount,VILG,51.9490200,-105.6524790,,,SK181016,Q7935827,cgn_direct
Cayley,ALBERTA,102,IALNW,Cayley,UNP,50.4480556,-113.8472222,,,AB192025,Q5055320,cgn_direct
Roblin,MANITOBA,102,GAXGH,Roblin,TOWN,51.2300000,-101.3555600,,,MB157006,Q1661068,cgn_direct
Basswood,MANITOBA,102,GABTP,Basswood,UNP,50.3013890,-100.0336100,,,,,cgn_direct
Daysland,ALBERTA,102,IAPSJ,Daysland,TOWN,52.8641666,-112.2550000,,,AB196026,Q1004125,cgn_direct
Hughton,SASKATCHEWAN,102,HAFSN,Hughton,UNP,51.2333824,-107.9173445,,,SK178036,Q5933610,cgn_direct
Monitor,ALBERTA,102,IAKEY,Monitor,UNP,51.9783333,-110.5694444,0.0,0.0,AB195038,Q6900455,cgn_direct
Drinkwater,SASKATCHEWAN,101,HAGVR,Drinkwater,VILG,50.2949361,-105.1337967,,,SK176043,Q2002636,cgn_direct
Leduc,ALBERTA,101,IACUJ,Leduc,CITY,53.2666666,-113.5458333,53.2667,-113.55,AB199019,Q1207513,cgn_direct
Harris,SASKATCHEWAN,101,HAEVL,Harris,VILG,51.7329750,-107.5803083,,,SK182006,Q5664994,cgn_direct
Madison,SASKATCHEWAN,101,HAKVD,Madison,UNP,51.2167181,-109.0173987,,,,,cgn_direct
Vonda,SASKATCHEWAN,101,HAJMH,Vonda,TOWN,52.3236444,-106.0943806,,,SK185030,Q1917423,cgn_direct
Dollard,SASKATCHEWAN,101,HAOOL,Dollard,HAM,49.6154580,-108.5836580,,,SK174032,Q5289242,cgn_direct
Lancer,SASKATCHEWAN,101,HAFIW,Lancer,VILG,50.8014564,-108.8788139,,,SK178037,Q2085237,cgn_direct
Carnduff,MANITOBA,100,HABWL,Carnduff,TOWN,49.1749250,-101.7973306,,,SK171024,Q1099427,cgn_direct
Pense,SASKATCHEWAN,100,HAGTA,Pense,VILG,50.4152361,-104.9847031,,,SK176010,Q7164729,cgn_direct
Bow Island,ALBERTA,100,IAHYT,Bow Island,TOWN,49.8672222,-111.3788889,,,AB189024,Q573968,cgn_direct
Cudworth,SASKATCHEWAN,100,HAEPH,Cudworth,TOWN,52.4901917,-105.7391278,,,SK185035,Q1381553,cgn_direct
Veregin,SASKATCHEWAN,100,HAJKQ,Veregin,HAM,51.5817410,-102.0767430,,,SK179039,Q7921203,cgn_direct
Lajord,SASKATCHEWAN,99,HAFIF,Lajord,UNP,50.2402330,-104.1537220,,,SK176003,Q6474356,cgn_direct
Milden,SASKATCHEWAN,99,HALNO,Milden,VILG,51.4864944,-107.5212417,51.4833,-107.5167,SK182002,Q6850900,cgn_direct
Tyvan,SASKATCHEWAN,99,HAVSF,Tyvan,UNP,50.0325510,-103.7312530,,,SK172048,Q7861901,cgn_direct
Cluny,ALBERTA,99,IANDY,Cluny,UNP,50.8411111,-112.8694444,,,,,cgn_direct
Bladworth,SASKATCHEWAN,99,HAEBZ,Bladworth,VILG,51.3674199,-106.1391693,,,SK181030,Q1999137,cgn_direct
Hague,SASKATCHEWAN,99,HAPNX,Hague,TOWN,52.5107139,-106.4173506,,,SK185040,Q1911281,cgn_direct
Chinook,ALBERTA,99,IASEQ,Chinook,UNP,51.4494445,-110.9252778,,,AB193028,Q5101233,cgn_direct
Hanna,ALBERTA,99,IAINF,Hanna,TOWN,51.6458334,-111.9252778,51.6333,-111.9,AB193025,Q747623,cgn_direct
Moosomin,MANITOBA,98,HALUK,Moosomin,TOWN,50.1447583,-101.6710000,,,SK175001,Q6908705,cgn_direct
Sedley,SASKATCHEWAN,98,HAIAL,Sedley,VILG,50.1708972,-104.0140833,,,SK176064,Q2204252,cgn_direct
Tuxford,SASKATCHEWAN,98,HAVOY,Tuxford,VILG,50.5753361,-105.5805417,0.0,0.0,SK177049,Q2205050,cgn_direct
Lashburn,SASKATCHEWAN,98,HAFKI,Lashburn,TOWN,53.1251500,-109.6132750,,,SK187025,Q1915126,cgn_direct
Quill Lake,SASKATCHEWAN,98,HAIIG,Quill Lake,VILG,52.0711194,-104.2564139,,,SK180036,Q2202363,cgn_direct
Viking,ALBERTA,98,IAONY,Viking,TOWN,53.0947222,-111.7755556,,,AB195043,Q3558263,cgn_direct
Eyebrow,SASKATCHEWAN,98,HAIQW,Eyebrow,VILG,50.8022040,-106.1492530,,,SK177014,Q5422752,cgn_direct
Craigmyle,ALBERTA,98,IAOCK,Craigmyle,UNP,51.6697222,-112.2430556,,,AB193029,Q5181740,cgn_direct
Francis,SASKATCHEWAN,97,HACEQ,Francis,TOWN,50.1017036,-103.8662639,,,SK176002,Q5482058,cgn_direct
Lipton,SASKATCHEWAN,97,HAGGV,Lipton,VILG,50.9027556,-103.8484944,50.9,-103.85,SK176016,Q6557226,cgn_direct
Qu'Appelle,SASKATCHEWAN,97,HAIHZ,Qu'Appelle,TOWN,50.5425111,-103.8735111,,,SK176027,Q1916627,cgn_direct
Castor,ALBERTA,97,IALMX,Castor,TOWN,52.2191667,-111.9036111,0.0,0.0,AB195022,Q985296,cgn_direct
Semans,SASKATCHEWAN,97,HATPD,Semans,VILG,51.4061611,-104.7313472,,,SK180039,Q2204261,cgn_direct
Shackleton,SASKATCHEWAN,97,HAIBW,Shackleton,UNP,50.6850089,-108.6075361,,,SK178045,Q2204299,cgn_direct
Palmer,SASKATCHEWAN,97,HAPCB,Palmer,HAM,49.8589590,-106.3596030,,,SK173041,Q7128199,cgn_direct
Carseland,ALBERTA,97,IALLG,Carseland,UNP,50.8513889,-113.4677778,,,,,cgn_direct
Scotsguard,SASKATCHEWAN,97,HAOOR,Scotsguard,UNP,49.7234550,-108.1466480,,,SK174036,Q7435800,cgn_direct
Marquis,SASKATCHEWAN,96,HAKZC,Marquis,VILG,50.6189842,-105.7192419,,,SK177013,Q6772679,cgn_direct
Osage,SASKATCHEWAN,96,HANGB,Osage,VILG,49.9562083,-103.5817361,,,SK172044,Q2201352,cgn_direct
Rocanville,MANITOBA,96,HAJEY,Rocanville,TOWN,50.3818370,-101.7006170,0.0,0.0,SK175006,Q7353681,cgn_direct
Salvador,SASKATCHEWAN,96,HAHHD,Salvador,UNP,52.1667339,-109.5007536,,,SK183051,Q115865939,cgn_direct
Marcelin,SASKATCHEWAN,96,HAKXS,Marcelin,VILG,52.9260139,-106.7906750,,,SK186036,Q2086275,cgn_direct
Togo,MANITOBA,96,HAPLD,Togo,VILG,51.4025953,-101.5823722,,,SK179038,Q2204967,cgn_direct
Success,SASKATCHEWAN,96,HAPKM,Success,VILG,50.4603660,-108.0798260,,,SK178046,Q2204886,cgn_direct
Carmichael,SASKATCHEWAN,96,HABRQ,Carmichael,VILG,50.0478940,-108.6440770,,,SK174021,Q5043662,cgn_direct
Youngstown,ALBERTA,96,IAACJ,Youngstown,VILG,51.5288889,-111.2102778,51.5333,-111.2167,AB193026,Q8058634,cgn_direct
Keeler,SASKATCHEWAN,95,HADFK,Keeler,VILG,50.6790722,-105.8808000,,,SK177040,Q2004116,cgn_direct
Parkland,ALBERTA,95,IAPYQ,Parkland,UNP,50.2561111,-113.6586111,,,AB196016,,cgn_direct
Mikado,SASKATCHEWAN,95,HALNK,Mikado,HAM,51.6087250,-102.2706026,,,,,cgn_direct
Pennant,SASKATCHEWAN,95,HAGSX,Pennant,VILG,50.5317300,-108.2312790,,,SK178039,Q2202139,cgn_direct
Wakaw,SASKATCHEWAN,95,HAJMV,Wakaw,TOWN,52.6479000,-105.7414380,0.0,0.0,SK185050,Q1917479,cgn_direct
Leader,SASKATCHEWAN,95,HATYU,Leader,TOWN,50.8875722,-109.5466111,50.8833,-109.55,SK178028,Q1915145,cgn_direct
Standard,ALBERTA,95,IAKSP,Standard,VILG,51.1097222,-112.9836111,51.1167,-112.9833,,,cgn_direct
Chipman,ALBERTA,94,IAMLA,Chipman,VILG,53.6983333,-112.6377778,46.1692,-65.885,AB198024,Q1959561,cgn_direct
Melaval,SASKATCHEWAN,94,HAPBI,Melaval,UNP,49.6924290,-106.4490730,,,,,cgn_direct
Deloraine,MANITOBA,93,GAGKB,Deloraine,TOWN,49.1908330,-100.4938900,49.1908,-100.4939,MB158010,Q86580,cgn_direct
Killarney,MANITOBA,93,GANKU,Killarney,TOWN,49.1833330,-99.6627780,49.1833,-99.6628,MB157010,Q168855,cgn_direct
Herschel,SASKATCHEWAN,93,HAPMI,Herschel,HAM,51.6333845,-108.3507000,,,SK182033,Q14874953,cgn_direct
Strongfield,SASKATCHEWAN,93,HAMVL,Strongfield,VILG,51.3318540,-106.5993770,,,SK181051,Q2204868,cgn_direct
Cardston,ALBERTA,93,IAKML,Cardston,TOWN,49.2000000,-113.3038889,49.2,-113.3,AB190020,Q1743545,cgn_direct
Swan Lake,MANITOBA,93,GBBDI,Swan Lake,UNP,49.4116670,-98.7913890,,,,,cgn_direct
Birch Hills,SASKATCHEWAN,93,HAUTS,Birch Hills,TOWN,52.9840353,-105.4325194,,,SK185017,Q4915666,cgn_direct
Innisfail,ALBERTA,93,IALBX,Innisfail,TOWN,52.0281390,-113.9506390,,,AB196027,Q1009832,cgn_direct
Adanac,SASKATCHEWAN,92,HAQMK,Adanac,UNP,52.4528462,-109.0562791,,,SK183031,Q4680619,cgn_direct
Norquay,SASKATCHEWAN,92,HAMHE,Norquay,TOWN,51.8841475,-102.0894306,,,SK179027,Q1916300,cgn_direct
Pelly,MANITOBA,92,HAPIO,Pelly,VILG,51.8553070,-101.9316480,51.8667,-101.9333,SK179028,Q2202128,cgn_direct
Craik,SASKATCHEWAN,92,HADVS,Craik,TOWN,51.0487990,-105.8200670,,,SK177017,Q5181777,cgn_direct
Meyronne,SASKATCHEWAN,92,HAAQV,Meyronne,HAM,49.6690210,-106.8395820,0.0,0.0,SK173037,Q6826568,cgn_direct
Lomond,ALBERTA,92,IADWR,Lomond,VILG,50.3494445,-112.6405556,50.35,-112.65,AB192027,Q14874850,cgn_direct
Milk River,ALBERTA,91,IAJZQ,Milk River,TOWN,49.1500000,-112.0866667,,,AB189029,Q1908610,cgn_direct
Bradwell,SASKATCHEWAN,91,HAKJG,Bradwell,VILG,51.9466850,-106.2307500,,,SK181031,Q1999218,cgn_direct
Gray,SASKATCHEWAN,91,HADNL,Gray,HAM,50.1705917,-104.4443778,,,,,cgn_direct
Admiral,SASKATCHEWAN,91,HABJQ,Admiral,HAM,49.7166946,-108.0173469,,,SK174028,Q4683624,cgn_direct
Gilroy,SASKATCHEWAN,91,HADIG,Gilroy,UNP,50.8982630,-106.7368600,,,,,cgn_direct
Alameda,SASKATCHEWAN,90,HAPNP,Alameda,TOWN,49.2681464,-102.2870583,,,SK171021,Q704961,cgn_direct
Waldeck,SASKATCHEWAN,90,HAJNA,Waldeck,VILG,50.3612900,-107.5927680,,,SK177050,Q2205174,cgn_direct
